,YNT,Y_star,P_star,RR_star
2012-07-01,-0.0029308738486761854,-0.020314338095454472,0.006855368194521929,-0.005663462542745297
2012-10-01,-0.0036577054221975658,-0.02556149858746703,0.005436243517223028,-0.0029250302653456624
2013-01-01,0.002806660142825379,-0.023946977142444204,0.002432758034370158,-0.0026822953994370506
2013-04-01,-0.00826487705414003,-0.023776939400746554,0.0008255476713377602,-0.0032507325752850163
2013-07-01,-0.0010972830597726357,-0.02097944781722472,0.0023053031143110553,0.00011218586181498359
2013-10-01,-0.001799516914815058,-0.01905194283519095,-0.0005403957559994429,0.0037141732462159928
2014-01-01,-0.009466772367320075,-0.019755374738400507,-0.0012804499533006638,0.01176184416501349
2014-04-01,0.00402232580984041,-0.015235779970191562,0.0004870725414491293,0.007306718084615586
2014-07-01,-0.00022414704404205565,-0.011836134343090962,-0.0018091905081869615,0.007390486964713402
2014-10-01,0.0011197540179974652,-0.01130695975293583,-0.004636786558915121,0.007421013561163623
2015-01-01,-0.004142318938241019,-0.011459003298583893,-0.010378646818671896,0.007040751855812913
2015-04-01,-0.00018899082344248086,-0.01154397963681919,-0.008220351070322053,0.008046071629473607
2015-07-01,0.004680805674965427,-0.01139921336656257,-0.008265675646353913,0.006582619834329435
2015-10-01,-0.00134814916028958,-0.012037772112678584,-0.00787712039983636,0.0032870470745054196
2016-01-01,-0.005158521475268074,-0.0118681136277659,-0.006325543424051713,-0.0033334918632633654
2016-04-01,-0.01165301209258196,-0.013296443829463407,-0.006686622799949576,0.0009535617115907609
2016-07-01,-0.011800391143129474,-0.01217595721789571,-0.004982779043590978,0.0015734910623242952
2016-10-01,-0.013750209715448491,-0.01056681436706769,-0.0009037854359378616,0.0017441921980445281
2017-01-01,-0.013496688924252709,-0.008364159259666003,0.00521672668593954,0.003024564772241981
2017-04-01,-0.00852419654987635,-0.007681559860692752,0.0036699776421453235,2.8344299837661164e-05
2017-07-01,-0.005571820367228142,-0.006670723173959875,0.004107434249379682,-0.00047923378755024255
2017-10-01,-0.0020582852028248055,-0.006025565653347451,0.0038996244619704202,0.002688594687872959
2018-01-01,7.711602128246398e-05,-0.005049331845378362,0.0027163944758834524,0.010238020603334941
2018-04-01,0.00509918069998605,-0.0028800871302137225,0.005161888928962909,0.010365196510071194
2018-07-01,0.007215455731946818,-0.0014387382964497412,0.007255533599868771,0.013976936008338733
2018-10-01,0.006936863082479761,-0.002775429365214421,0.005568178058306031,0.016195539237233443
